well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba3961_A9,565229.9152030945,2958326.263145447,27,88633.19807193897,False,11
ba3961_B1,257772.1709098816,3530288.0962791443,27,121204.29353219492,False,11
ba3961_B10,504140.2718925476,3051317.15933609,27,94339.8847201312,False,11
ba3961_B11,542773.4427032471,3149834.2568130493,27,96557.80792999268,False,11
ba3961_B12,518156.72788238525,3121399.4392852783,27,96416.39671862566,False,11
ba3961_B2,234109.98176574707,1232292.6486549377,27,36969.72840330336,False,11
ba3961_B3,234059.7435722351,1732313.3886795044,27,55490.875744713674,False,11
ba3961_B4,232753.55054092407,977032.3874206543,27,27565.882847397417,False,11
ba3961_B5,231346.8811225891,2221080.7733573914,27,73693.84786054824,False,11
ba3961_B6,221550.43338775635,736290.9641113281,27,19064.46410087303,False,11
ba3961_B7,522075.30697631836,2914819.987564087,27,88620.17335510254,False,11
ba3961_B8,537046.2886428833,2605855.097465515,27,76622.54847491228,False,11
ba3961_B9,519312.2063331604,4898726.249351501,27,162200.52011179042,False,11
ba3961_C1,253451.68626785278,2782994.9677886963,27,93686.78820447568,False,11
ba3961_C10,518759.5862045288,2982993.2161598206,27,91267.91222056636,False,11
ba3961_C11,520718.87575149536,3675828.142883301,27,116855.89878265945,False,11
ba3961_C12,514841.0071105957,2263180.3795204163,27,64753.31008925261,False,11
ba3961_C2,240741.42330932617,1369694.1079101562,27,41813.06239262334,False,11
ba3961_C3,240439.9941482544,943473.2741546631,27,26038.269629866987,False,11
ba3961_C4,232653.07415390015,955078.2968559265,27,26756.48972970468,False,11
ba3961_C5,231095.6901550293,2638108.0177001953,27,89148.60472389504,False,11
ba3961_C6,238782.13376235962,1157688.9312896729,27,34033.5850936042,False,11
ba3961_C7,516147.20014190674,3192134.815750122,27,99110.6524299339,False,11
ba3961_C8,541617.9642524719,3551187.184780121,27,111465.52668620922,False,11
ba3961_C9,530565.5616798401,3976302.778278351,27,127619.89691105596,False,11
ba3961_D1,241243.8052444458,1172810.6275367737,27,34502.474899715846,False,11
ba3961_D10,527752.2228431702,3014392.0871047974,27,92097.77275043064,False,11
ba3961_D11,524989.1222000122,2649411.611240387,27,78682.31440890276,False,11
